Order Date,Order ID,Returned,Sheet,Table Name
,CA-2017-153822,Yes,Returns,Returns
,CA-2017-129707,Yes,Returns,Returns
,CA-2014-152345,Yes,Returns,Returns
,CA-2015-156440,Yes,Returns,Returns
,US-2017-155999,Yes,Returns,Returns
,CA-2014-157924,Yes,Returns,Returns
,CA-2017-131807,Yes,Returns,Returns
,CA-2016-124527,Yes,Returns,Returns
,CA-2017-135692,Yes,Returns,Returns
,CA-2014-123225,Yes,Returns,Returns
,CA-2017-145772,Yes,Returns,Returns
,US-2014-105137,Yes,Returns,Returns
,CA-2017-101805,Yes,Returns,Returns
,CA-2016-111682,Yes,Returns,Returns
,CA-2017-131492,Yes,Returns,Returns
,CA-2015-104129,Yes,Returns,Returns
,CA-2017-117926,Yes,Returns,Returns
,US-2016-115952,Yes,Returns,Returns
,CA-2015-155761,Yes,Returns,Returns
,CA-2017-100111,Yes,Returns,Returns
,CA-2014-156349,Yes,Returns,Returns
,CA-2016-118899,Yes,Returns,Returns
,CA-2017-108294,Yes,Returns,Returns
,US-2017-123834,Yes,Returns,Returns
,CA-2015-168480,Yes,Returns,Returns
,CA-2017-122007,Yes,Returns,Returns
,CA-2017-128965,Yes,Returns,Returns
,CA-2015-169397,Yes,Returns,Returns
,CA-2015-168564,Yes,Returns,Returns
,CA-2014-102652,Yes,Returns,Returns
,CA-2016-112340,Yes,Returns,Returns
,CA-2016-114727,Yes,Returns,Returns
,US-2016-151827,Yes,Returns,Returns
,CA-2016-152814,Yes,Returns,Returns
,US-2016-114230,Yes,Returns,Returns
,CA-2015-146486,Yes,Returns,Returns
,CA-2015-116092,Yes,Returns,Returns
,CA-2017-118542,Yes,Returns,Returns
,CA-2015-140984,Yes,Returns,Returns
,CA-2017-127306,Yes,Returns,Returns
,CA-2017-119284,Yes,Returns,Returns
,CA-2017-150609,Yes,Returns,Returns
,CA-2017-136651,Yes,Returns,Returns
,CA-2017-136539,Yes,Returns,Returns
,CA-2014-110786,Yes,Returns,Returns
,CA-2014-126403,Yes,Returns,Returns
,CA-2016-157280,Yes,Returns,Returns
,CA-2016-162138,Yes,Returns,Returns
,CA-2016-114307,Yes,Returns,Returns
,CA-2014-123498,Yes,Returns,Returns
,CA-2016-142398,Yes,Returns,Returns
,CA-2017-161956,Yes,Returns,Returns
,CA-2017-134194,Yes,Returns,Returns
,CA-2015-134075,Yes,Returns,Returns
,US-2016-156986,Yes,Returns,Returns
,US-2016-105578,Yes,Returns,Returns
,US-2016-131149,Yes,Returns,Returns
,US-2017-147886,Yes,Returns,Returns
,CA-2014-126361,Yes,Returns,Returns
,CA-2017-141929,Yes,Returns,Returns
,CA-2016-145583,Yes,Returns,Returns
,CA-2015-154970,Yes,Returns,Returns
,CA-2016-167759,Yes,Returns,Returns
,CA-2017-109085,Yes,Returns,Returns
,CA-2014-142769,Yes,Returns,Returns
,US-2017-107888,Yes,Returns,Returns
,CA-2014-109918,Yes,Returns,Returns
,CA-2017-131618,Yes,Returns,Returns
,US-2017-109253,Yes,Returns,Returns
,CA-2017-130631,Yes,Returns,Returns
,US-2017-118087,Yes,Returns,Returns
,CA-2016-126732,Yes,Returns,Returns
,US-2016-144057,Yes,Returns,Returns
,CA-2016-168921,Yes,Returns,Returns
,CA-2016-109806,Yes,Returns,Returns
,CA-2014-104829,Yes,Returns,Returns
,CA-2016-147375,Yes,Returns,Returns
,CA-2014-134726,Yes,Returns,Returns
,CA-2017-117513,Yes,Returns,Returns
,US-2014-138758,Yes,Returns,Returns
,CA-2014-126522,Yes,Returns,Returns
,CA-2017-115994,Yes,Returns,Returns
,CA-2016-138282,Yes,Returns,Returns
,CA-2017-161459,Yes,Returns,Returns
,CA-2016-136483,Yes,Returns,Returns
,CA-2016-116547,Yes,Returns,Returns
,CA-2015-130785,Yes,Returns,Returns
,CA-2017-165008,Yes,Returns,Returns
,US-2015-137008,Yes,Returns,Returns
,CA-2017-169894,Yes,Returns,Returns
,CA-2014-105270,Yes,Returns,Returns
,CA-2016-165330,Yes,Returns,Returns
,CA-2014-111871,Yes,Returns,Returns
,CA-2015-157812,Yes,Returns,Returns
,CA-2016-145982,Yes,Returns,Returns
,CA-2017-166142,Yes,Returns,Returns
,CA-2014-127131,Yes,Returns,Returns
,CA-2017-143084,Yes,Returns,Returns
,CA-2015-151547,Yes,Returns,Returns
,CA-2015-138674,Yes,Returns,Returns
,CA-2014-169019,Yes,Returns,Returns
,CA-2014-100762,Yes,Returns,Returns
,US-2014-164406,Yes,Returns,Returns
,CA-2016-118500,Yes,Returns,Returns
,CA-2015-143490,Yes,Returns,Returns
,CA-2017-115427,Yes,Returns,Returns
,CA-2015-124058,Yes,Returns,Returns
,CA-2017-132346,Yes,Returns,Returns
,CA-2016-150077,Yes,Returns,Returns
,CA-2017-124401,Yes,Returns,Returns
,CA-2017-137414,Yes,Returns,Returns
,CA-2017-142867,Yes,Returns,Returns
,CA-2017-157196,Yes,Returns,Returns
,CA-2015-149342,Yes,Returns,Returns
,CA-2016-112123,Yes,Returns,Returns
,US-2017-147998,Yes,Returns,Returns
,CA-2015-103716,Yes,Returns,Returns
,CA-2015-144267,Yes,Returns,Returns
,CA-2016-109869,Yes,Returns,Returns
,CA-2017-166898,Yes,Returns,Returns
,CA-2017-169327,Yes,Returns,Returns
,CA-2017-169859,Yes,Returns,Returns
,CA-2017-137085,Yes,Returns,Returns
,CA-2017-154074,Yes,Returns,Returns
,CA-2016-130477,Yes,Returns,Returns
,CA-2016-134775,Yes,Returns,Returns
,US-2017-105046,Yes,Returns,Returns
,CA-2016-136924,Yes,Returns,Returns
,CA-2017-166093,Yes,Returns,Returns
,CA-2016-106950,Yes,Returns,Returns
,CA-2017-145128,Yes,Returns,Returns
,US-2016-114293,Yes,Returns,Returns
,CA-2017-137099,Yes,Returns,Returns
,CA-2016-133319,Yes,Returns,Returns
,CA-2014-103744,Yes,Returns,Returns
,CA-2015-161627,Yes,Returns,Returns
,CA-2015-142601,Yes,Returns,Returns
,CA-2015-112144,Yes,Returns,Returns
,CA-2014-164861,Yes,Returns,Returns
,US-2015-128090,Yes,Returns,Returns
,CA-2014-108609,Yes,Returns,Returns
,CA-2017-147452,Yes,Returns,Returns
,CA-2015-123568,Yes,Returns,Returns
,CA-2017-102519,Yes,Returns,Returns
,CA-2017-121853,Yes,Returns,Returns
,CA-2015-132374,Yes,Returns,Returns
,US-2014-150574,Yes,Returns,Returns
,CA-2014-148614,Yes,Returns,Returns
,CA-2017-165491,Yes,Returns,Returns
,CA-2016-133802,Yes,Returns,Returns
,CA-2017-112865,Yes,Returns,Returns
,CA-2016-130680,Yes,Returns,Returns
,CA-2015-114048,Yes,Returns,Returns
,CA-2017-108931,Yes,Returns,Returns
,CA-2017-136308,Yes,Returns,Returns
,CA-2016-126529,Yes,Returns,Returns
,CA-2014-135699,Yes,Returns,Returns
,CA-2015-146255,Yes,Returns,Returns
,CA-2017-140053,Yes,Returns,Returns
,CA-2014-143336,Yes,Returns,Returns
,CA-2017-159954,Yes,Returns,Returns
,CA-2016-105291,Yes,Returns,Returns
,CA-2017-158729,Yes,Returns,Returns
,CA-2017-101273,Yes,Returns,Returns
,CA-2017-123085,Yes,Returns,Returns
,CA-2017-131828,Yes,Returns,Returns
,CA-2017-113670,Yes,Returns,Returns
,CA-2015-135580,Yes,Returns,Returns
,US-2016-157490,Yes,Returns,Returns
,CA-2017-142888,Yes,Returns,Returns
,CA-2014-153150,Yes,Returns,Returns
,US-2016-152051,Yes,Returns,Returns
,CA-2014-103940,Yes,Returns,Returns
,CA-2016-159345,Yes,Returns,Returns
,CA-2017-162015,Yes,Returns,Returns
,CA-2015-148873,Yes,Returns,Returns
,CA-2017-167395,Yes,Returns,Returns
,US-2016-127425,Yes,Returns,Returns
,CA-2017-142342,Yes,Returns,Returns
,CA-2016-159212,Yes,Returns,Returns
,CA-2016-116736,Yes,Returns,Returns
,CA-2016-128671,Yes,Returns,Returns
,CA-2017-112753,Yes,Returns,Returns
,US-2016-148957,Yes,Returns,Returns
,CA-2015-110814,Yes,Returns,Returns
,CA-2014-164721,Yes,Returns,Returns
,US-2015-136987,Yes,Returns,Returns
,CA-2016-151372,Yes,Returns,Returns
,US-2017-151127,Yes,Returns,Returns
,US-2015-110569,Yes,Returns,Returns
,CA-2015-153220,Yes,Returns,Returns
,CA-2017-117212,Yes,Returns,Returns
,CA-2017-101574,Yes,Returns,Returns
,CA-2016-151323,Yes,Returns,Returns
,CA-2014-166744,Yes,Returns,Returns
,US-2016-119046,Yes,Returns,Returns
,CA-2015-105158,Yes,Returns,Returns
,CA-2017-103380,Yes,Returns,Returns
,CA-2016-161746,Yes,Returns,Returns
,CA-2015-111948,Yes,Returns,Returns
,CA-2017-138163,Yes,Returns,Returns
,CA-2015-134201,Yes,Returns,Returns
,US-2015-126214,Yes,Returns,Returns
,CA-2014-140816,Yes,Returns,Returns
,CA-2014-133690,Yes,Returns,Returns
,CA-2016-120873,Yes,Returns,Returns
,US-2017-103247,Yes,Returns,Returns
,CA-2017-155712,Yes,Returns,Returns
